"act","prompt"
"📝 Gerador de Post Social Mídia","Escreva-me a descrição ou legenda do post do Instagram em apenas algumas frases para o post ➡️Adicione sua palavra-chave⬅️.
Formate cada nova frase com novas linhas para que o texto fique mais legível.
Inclua emojis e as melhores hashtags do Instagram para essa postagem.
A primeira frase da legenda deve fisgar os leitores e despertar sua curiosidade."
"📌 Gerador de Hashtags","Crie hashtags para ➡️Adicione sua palavra-chave⬅️ que são frequentemente usadas em plataformas de mídia social em português."
"🎠 Gerador de Carrossel","Escreva-me um exemplo de ideia de tópico de carrossel do Instagram.
Escreva-me também slide por slide com títulos, o conteúdo exato explicado e exemplos que devo usar. Além disso, forneça imagens para cada slide que expliquem todos os títulos de ➡️Adicione sua palavra-chave⬅️. Não inclua instruções de conteúdo, em vez disso, escreva apenas um texto acionável que eu possa copiar e colar. Depois de escrever os slides do carrossel, adicione um separador no final. Agora escreva-me a descrição/legenda do post do Instagram em apenas algumas frases. Formate cada nova frase com novas linhas para que o texto fique mais legível. Inclua emojis e as melhores hashtags do Instagram para essa postagem. A primeira frase da legenda deve fisgar os leitores despertar sua curiosidade."
"📰 Gerador de Headlines","Atuar como David Ogilvy. Sua tarefa é escrever 10 Headlines para um item que eu lhe dou em português. Toda a saída deve ser em português. Este é o item: ➡️Adicione sua palavra-chave⬅️."
"🎬 Gerador de Video Script Youtube","Crie um script de vídeo do YouTube atraente e cativante a partir da seguinte descrição: ➡️Adicione sua palavra-chave⬅️."
"📰 Gerador de Títulos para Blogs","Eu quero que você atue como um escritor de título de post de blog que fala e escreve fluentemente português. Vou digitar um título, ou palavras-chave via vírgula e você vai responder com os títulos dos posts em português. Todos devem ter um gancho e alto potencial para se tornarem virais nas redes sociais. Escreva tudo em português. minhas primeiras palavras-chave são ➡️Adicione sua palavra-chave⬅️."
"🎬 Gerador de Video Script YouTube, Instagram & TikTok","Atue como um SEO muito proficiente e redator de ponta que fala e escreve fluentemente português. Forneça-me conteúdo para YouTube Script for Topic. Deve haver introdução, corpo e parte de conclusão. O corpo deve conter 5 segmentos, sendo que cada segmento deve ter 200 palavras. O comprimento do script deve ser de 700 palavras. Se houver um subtítulo, altere-o para negrito. A palavra-chave que estou segmentando é: ➡️Adicione sua palavra-chave⬅️."
"📢 Gerador Parágrafo com CTA","Escreva um parágrafo curto que convença ➡️público⬅️ a comprar ➡️produto⬅️ e inclua a frase de chamariz (CTA)."
"👀 Gerador Conteúdo AIDA","Use a estrutura de escrita AIDA para convencer o leitor a experimentar ➡️produto⬅️ em ➡️número⬅️ palavras."
"👨‍✈️ Gerador Conteúdo FAB","use a estrutura de redação FAB para convencer o leitor a experimentar ➡️produto⬅️ em ➡️número⬅️ palavras."
